ESC signal (µs);Torque (N·m);Thrust (N);Voltage (V);Current (A);Motor Electrical Speed (RPM)
1000;0.001007825;-0.100496107;24.2778985;-0.001477058;0
1000;0.001030493;-0.103501685;24.28146715;-0.002307594;0
1000;0.001100316;-0.099749598;24.28411121;-0.002192552;0
1000.94372;0.001064521;-0.104986467;24.28681412;-0.003563615;0
1011.290993;0.001123971;-0.10260634;24.28987656;1.52E-05;0
1000;0.000422792;0.000486568;22.02067537;0.001616042;0
1000;0.000370189;-0.00159482;22.02084446;-0.000178198;0
1000;0.000460132;-0.00172659;22.02108622;-0.00046981;0
1000;0.000385919;0.000120328;22.02202425;0.00071369;0
1000;0.000440957;2.98E-05;22.02163935;-0.001040053;0
1000;0.000385988;0.000709202;22.0217557;-0.000320807;0
1000;0.000404713;-0.002187996;22.0223732;-0.000562041;0
1000;0.000396451;0.000457892;22.02261887;-0.001600009;0
1000;0.000447272;0.000734336;22.0225316;-0.000118519;0
1000;0.000432449;-0.000482829;22.02257242;-0.00092864;0
1000;0.000390226;0.00111424;22.02390928;0.001135035;0
1000.105947;0.000447443;0.001709328;22.0238492;0.000800496;0
1008.207227;0.000459222;-5.31E-05;22.02428265;-0.000701744;0
1021.203667;0.000467753;-0.003591838;22.02452736;0.001164188;0
1034.22584;0.000410235;-0.001251071;22.0245924;0.006505248;0
1047.360807;0.001418164;-0.016421917;22.02377348;0.035297856;0
1060.32206;0.004608837;-0.026213442;22.02425699;0.027501342;0
1073.29952;0.003195821;-0.050717191;22.0231451;0.063178813;0
1086.4208;0.002681407;-0.075324203;22.02240734;0.109512247;0
1099.552687;0.004661206;-0.127423644;22.02056274;0.16683976;0
1112.774833;0.00527659;-0.196389597;22.01880102;0.226785584;0
1126.143513;0.00464594;-0.254728647;22.0167222;0.29546893;0
1139.370833;0.003868884;-0.329607328;22.01405592;0.376443689;0
1152.674073;0.003280712;-0.395363033;22.01019812;0.462086769;0
1165.830393;0.001873194;-0.475527698;22.00700083;0.55729522;0
1178.993773;0.000481121;-0.552949946;22.00292015;0.666697344;0
1192.043793;-0.000235942;-0.637385864;21.99839191;0.780202389;0
1205.21898;-0.0023451;-0.722904548;21.9941968;0.912534359;0
1218.386807;-0.004248756;-0.81457119;21.98767872;1.055279601;0
1231.40566;-0.005804576;-0.89434226;21.98276386;1.181960008;0
1244.447427;-0.007752284;-0.986275239;21.97682228;1.323697689;0
1257.519533;-0.008885323;-1.071090133;21.97101831;1.464014712;0
1270.716813;-0.009623236;-1.169043432;21.96475172;1.611204174;0
1283.74342;-0.01089915;-1.256402638;21.95789967;1.766642896;0
1296.764293;-0.012384299;-1.347152766;21.95045452;1.929085532;0
1309.960007;-0.013818536;-1.460865801;21.94116621;2.141754207;0
1322.995247;-0.01599723;-1.59167099;21.92963648;2.394862446;0
1336.09556;-0.017689813;-1.728511118;21.91985302;2.640618381;0
1349.19588;-0.019412558;-1.865396792;21.90783577;2.913147125;0
1362.229907;-0.021651581;-2.0274139;21.89540577;3.2140892;0
1375.490547;-0.023483147;-2.181468379;21.88137465;3.518948183;0
1388.657213;-0.025337666;-2.358810581;21.86772633;3.841192493;0
1401.872487;-0.027857412;-2.545354478;21.85185328;4.185077939;0
1414.831913;-0.029607894;-2.710288119;21.83521299;4.569910559;0
1427.937153;-0.031829961;-2.886735925;21.81779976;4.949836025;0
1440.933973;-0.034237032;-3.073208412;21.79723492;5.409577045;0
1453.866447;-0.036526304;-3.258942627;21.77745962;5.805889997;0
1466.75834;-0.038738255;-3.453871788;21.75498314;6.269541106;0
1479.4188;-0.041030267;-3.643471108;21.73188972;6.735731992;0
1492.10878;-0.043395565;-3.833442094;21.70483427;7.223089013;0
1505.03494;-0.046171411;-4.030467245;21.67607946;7.750406871;0
1517.504027;-0.048262844;-4.223157036;21.64689827;8.244977317;0
1530.188387;-0.050654439;-4.411720638;21.61476841;8.752440104;0
1543.103207;-0.053150582;-4.61512278;21.57658997;9.314771018;0
1555.56418;-0.055628938;-4.794905835;21.53844395;9.88924025;0
1567.816387;-0.057968767;-4.990077901;21.49604025;10.49073733;0
1580.44628;-0.060678781;-5.200160479;21.44978809;11.03190125;0
1593.5704;-0.062973337;-5.422221846;21.39491901;11.7066439;0
1606.51552;-0.064892957;-5.63015202;21.33413887;12.35432428;0
1619.726547;-0.068163188;-5.828915358;21.26596403;13.04585165;0
1632.92364;-0.070342873;-6.043858278;21.19212427;13.71300462;0
1646.144753;-0.072141747;-6.209353074;21.11498089;14.38869055;0
1659.18064;-0.074869907;-6.389831295;21.02928286;15.08147582;0
1672.401533;-0.076464893;-6.573939962;20.94125071;15.74997452;0
1685.32672;-0.078183581;-6.738553856;20.84672432;16.4428243;0
1698.217027;-0.080551376;-6.928393831;20.74505167;17.13755544;0
1710.98654;-0.082025348;-7.076642409;20.64082804;17.78919681;0
1723.65724;-0.083846813;-7.209253645;20.53282614;18.44672626;0
1736.769167;-0.085855461;-7.380367104;20.41017704;19.18075717;0
1749.599367;-0.087769397;-7.537723103;20.2868968;19.88108438;0
1762.318087;-0.088831245;-7.682988418;20.15531912;20.55460142;0
1775.2253;-0.091503474;-7.796198214;20.01541615;21.25839723;0
1788.12386;-0.092789715;-7.916981723;19.86517916;21.92370447;0
1798.862573;-0.093770954;-8.001027982;19.70749607;22.47982257;0
1797.895587;-0.093775125;-7.937890247;19.59500246;22.28456872;0
1786.149253;-0.09122034;-7.740680482;19.5480567;21.41021694;0
1773.253473;-0.088290331;-7.526335831;19.52813549;20.42252944;0
1760.292253;-0.085413615;-7.297628889;19.51410046;19.53211912;0
1747.503407;-0.083222846;-7.079081392;19.50509634;18.69002336;0
1734.363587;-0.080544939;-6.829728504;19.5073411;17.79765304;0
1721.537327;-0.078504873;-6.634413057;19.51128683;17.04293989;0
1708.49328;-0.075926339;-6.416581714;19.52492056;16.20442484;0
1695.393293;-0.072576276;-6.16140718;19.5396636;15.43774384;0
1682.48952;-0.07032162;-5.980163135;19.55501575;14.71529292;0
1669.54612;-0.068127543;-5.775912703;19.57525349;13.97374781;0
1656.573907;-0.065929736;-5.602304033;19.59196444;13.34765833;0
1643.65524;-0.062707713;-5.407259042;19.61446667;12.62235092;0
1630.67834;-0.059466111;-5.216458133;19.63927774;11.99273747;0
1617.65136;-0.057194237;-5.06698191;19.66250315;11.39829567;0
1604.878833;-0.055869117;-4.908636863;19.6890954;10.78344983;0
1592.26724;-0.053851278;-4.726881334;19.71304321;10.25141409;0
1579.57106;-0.051577821;-4.568092649;19.74242935;9.653439603;0
1566.746447;-0.049926032;-4.374602171;19.77208138;9.115206418;0
1553.797147;-0.047424011;-4.196818768;19.80110512;8.593124327;0
1540.914;-0.04648086;-4.033836607;19.83045101;8.113325534;0
1528.023647;-0.04382684;-3.836880992;19.8631403;7.601169333;0
1515.108787;-0.041323246;-3.661215878;19.89556494;7.089525137;0
1502.43718;-0.038440566;-3.459688191;19.92748241;6.629445038;0
1489.569387;-0.035924192;-3.262894885;19.95917988;6.161783538;0
1476.837807;-0.033448765;-3.105636533;19.98876286;5.750579962;0
1464.296507;-0.031617317;-2.918917396;20.0195962;5.355077061;0
1000;0.001225607;-0.099855306;24.34882908;-0.001437266;0
1000;0.001326618;-0.101487967;24.34955845;-0.001394674;0
1000;0.001297389;-0.101923171;24.35093622;-0.001990264;0
1000;0.001211108;-0.101964583;24.35105114;-0.001832735;0
1000;0.00126541;-0.100558324;24.35276556;-0.002671198;0
1000;0.001257118;-0.101359768;24.35403996;-0.001090819;0
1000;0.001298514;-0.101064009;24.35440235;-0.002556438;0
1000;0.001299274;-0.100502489;24.35582008;-0.002375851;0
1000;0.001271349;-0.100968787;24.35721827;-0.00179437;0
1000;0.001313121;-0.098960524;24.35748215;-0.003871503;0
1000;0.001304913;-0.101406634;24.35871878;-0.001261524;0
1000.098167;0.001284024;-0.100108697;24.3598628;-0.004047827;0
1007.93998;0.001319695;-0.100667237;24.3607914;-0.000793781;0
1020.81484;0.001332173;-0.100116569;24.36153622;-0.002054206;0
1033.65396;0.001374835;-0.098202206;24.36209154;0.005916017;0
1046.661507;0.002964934;-0.113021432;24.3613225;0.037262123;0
1059.6919;0.00635543;-0.153002076;24.36232767;0.022881078;0
1072.8933;0.003816497;-0.157213939;24.36160736;0.062812796;0
1086.36432;0.006168295;-0.202614558;24.35972738;0.118691741;0
1099.3642;0.007730105;-0.261296823;24.35596056;0.17975693;0
1112.402687;0.007524335;-0.333691722;24.35228987;0.249005675;0
1125.77966;0.006802821;-0.403054067;24.3495018;0.327123894;0
1138.855533;0.005499135;-0.484356601;24.34507008;0.415255267;0
1152.1721;0.004219343;-0.565307332;24.34024925;0.512256797;0
1165.6235;0.002853061;-0.659764199;24.33491278;0.625380126;0
1178.9612;0.001526413;-0.748409519;24.32958164;0.745377085;0
1192.166927;0.000344904;-0.836551797;24.32210884;0.880361563;0
1205.068927;-0.001478296;-0.938740364;24.31537933;1.02783897;0
1217.900507;-0.003910836;-1.03435589;24.30654478;1.158799592;0
1230.73284;-0.006080982;-1.131792638;24.2991148;1.310726264;0
1243.525253;-0.007215404;-1.229326478;24.29081964;1.450752536;0
1256.530587;-0.008683388;-1.332094754;24.28111916;1.611166105;0
1269.6095;-0.01024362;-1.415860436;24.27236118;1.772504214;0
1282.277187;-0.011893335;-1.526950819;24.26041813;1.973995319;0
1295.076953;-0.013542405;-1.638982261;24.24671955;2.169724879;0
1307.95136;-0.015185179;-1.774936238;24.23230333;2.427399335;0
1320.535407;-0.017945041;-1.934058355;24.21602316;2.695758793;0
1333.021627;-0.019744372;-2.089695467;24.19937172;2.972452972;0
1345.506987;-0.021689017;-2.245325831;24.18082581;3.291564617;0
1358.221987;-0.023831203;-2.424173816;24.16138773;3.589364359;0
1371.002267;-0.025922214;-2.605591416;24.14072084;3.927739403;0
1383.63368;-0.028351374;-2.814194076;24.11716833;4.330258474;0
1396.411093;-0.0307088;-2.999576866;24.09127026;4.739038548;0
1409.25956;-0.033560228;-3.182106274;24.06401825;5.128769288;0
1422.00136;-0.036435006;-3.397053695;24.0357626;5.559791836;0
1434.63308;-0.038260875;-3.603657826;24.00352602;6.039879379;0
1447.338213;-0.041098735;-3.807568831;23.97056465;6.509101186;0
1460.084073;-0.043332763;-4.026588083;23.93454237;7.001093468;0
1472.68188;-0.046366193;-4.260586818;23.89800777;7.561782274;0
1485.283687;-0.049199517;-4.463497528;23.86019697;8.068778023;0
1498.198367;-0.051975327;-4.68621395;23.81980648;8.658407101;0
1511.105547;-0.05462849;-4.908447937;23.77774849;9.260030303;0
1523.978887;-0.057580885;-5.127812615;23.73278885;9.861307416;0
1536.64512;-0.059865637;-5.372697445;23.68738527;10.45283984;0
1549.27644;-0.062893013;-5.601184536;23.64051285;11.08198493;0
1562.035013;-0.066051335;-5.839825259;23.58873339;11.84461778;0
1574.686613;-0.068603398;-6.062390428;23.53812962;12.49165286;0
1587.32224;-0.070633195;-6.260120863;23.49064312;13.17166837;0
1600.08196;-0.07346354;-6.488671119;23.43991461;13.87146829;0
1612.816687;-0.075924894;-6.694322749;23.38729095;14.61675704;0
1625.773067;-0.07869497;-6.944543978;23.32897644;15.41498254;0
1638.47802;-0.081808546;-7.165865576;23.27108965;16.25849765;0
1651.207407;-0.084826624;-7.40640643;23.21557274;17.00495771;0
1663.884113;-0.087190832;-7.624364096;23.15990629;17.80552524;0
1676.753707;-0.089908471;-7.863165265;23.10194759;18.6674291;0
1689.581933;-0.093051058;-8.11225462;23.04421329;19.52444757;0
1702.50328;-0.095161559;-8.320093143;22.9834878;20.43047212;0
1715.411687;-0.097672342;-8.570369103;22.92235851;21.27164939;0
1728.236747;-0.099874561;-8.743089372;22.86495686;22.15017036;0
1740.87926;-0.101510975;-8.896303442;22.80860701;22.96523145;0
1753.8051;-0.104024695;-9.098716718;22.74767637;24.02702764;0
1766.868273;-0.106621948;-9.306055755;22.68548431;24.95251869;0
1779.72094;-0.108986616;-9.523425087;22.61582251;26.04887918;0
1792.760253;-0.112569531;-9.715411464;22.55177879;27.05645421;0
1799.983753;-0.114055451;-9.85897739;22.49807482;27.68970464;0
1794.813;-0.111987058;-9.751027713;22.4865099;27.23501609;0
1782.001693;-0.109006475;-9.506505933;22.50488596;26.0692881;0
1768.875987;-0.106616951;-9.302339457;22.5280736;24.96048377;0
1755.66542;-0.10300769;-9.036916082;22.55459013;23.83541587;0
1742.761507;-0.100451987;-8.791360074;22.58369846;22.77902635;0
1729.844327;-0.096377689;-8.471436693;22.61731157;21.64888299;0
1716.992827;-0.094135595;-8.259798107;22.64689445;20.78466094;0
1703.85464;-0.090491572;-7.92084926;22.68167372;19.79274467;0
1690.750493;-0.087728673;-7.641852277;22.71505442;18.85432752;0
1677.65;-0.085628048;-7.409002282;22.74489641;18.00601409;0
1664.527287;-0.08276892;-7.240418136;22.77563515;17.1788627;0
1651.302987;-0.080000036;-6.988139338;22.80734158;16.34779886;0
1638.117053;-0.076208802;-6.695262127;22.84144363;15.43243426;0
1625.010233;-0.073011223;-6.493886066;22.87135096;14.68306502;0
1611.732393;-0.071289761;-6.279965934;22.90260201;13.92001275;0
1598.489513;-0.069187331;-6.086413232;22.93192358;13.22923969;0
1585.489427;-0.066106949;-5.874935078;22.96328764;12.47199954;0
1572.421453;-0.064604608;-5.683372654;22.99510574;11.83769711;0
1559.56606;-0.061569004;-5.49156208;23.02417221;11.15017861;0
1546.41036;-0.058253109;-5.294894352;23.05282068;10.50960735;0
1533.198907;-0.055126435;-5.072190862;23.08182001;9.868886504;0
1520.033167;-0.052362844;-4.831837063;23.11021671;9.219194541;0
1506.903587;-0.04968993;-4.637364284;23.13677063;8.641360984;0
1493.69376;-0.047299885;-4.392098605;23.16576262;8.037382302;0
1480.395767;-0.044429017;-4.21110515;23.19151163;7.499808321;0
1467.549893;-0.041493081;-3.989396332;23.2164259;6.956012735;0
1454.877213;-0.039009583;-3.776935687;23.24099789;6.471836981;0
1441.53624;-0.036098275;-3.546216166;23.26565809;5.985840187;0
1428.378;-0.034225065;-3.377666692;23.28722143;5.559679756;0
1415.127947;-0.032269806;-3.249584247;23.31109133;5.124617014;0
1402.104487;-0.030335579;-3.030763482;23.33367453;4.706499467;0
1388.933747;-0.027865515;-2.836535665;23.3557354;4.30805696;0
1375.7243;-0.025592398;-2.630711226;23.37618456;3.902974996;0
1362.482327;-0.023119103;-2.443963967;23.39548254;3.542053291;0
1349.181707;-0.02071817;-2.290722163;23.414048;3.24300389;0
1336.03826;-0.018974221;-2.104517321;23.43178787;2.929589317;0
1322.8341;-0.016650562;-1.95650734;23.44889717;2.635087917;0
1309.606673;-0.015009856;-1.794029542;23.46392345;2.363618061;0
1296.451913;-0.013260176;-1.657716832;23.47874289;2.127382466;0
1283.123353;-0.010605767;-1.54585032;23.49159079;1.914398358;0
1269.899153;-0.009338811;-1.466021519;23.50401335;1.754391298;0
1256.883293;-0.008007473;-1.369602875;23.51403627;1.591769418;0
1243.772627;-0.006865143;-1.271169769;23.52464409;1.434103498;0
1230.554393;-0.005301715;-1.17196315;23.53526573;1.289823178;0
1217.51062;-0.003234214;-1.069148584;23.54507151;1.139147243;0
1204.641447;-0.00120621;-0.970179064;23.55479984;0.993494198;0
1191.7299;0.000834094;-0.892667048;23.5644393;0.848383019;0
1178.6444;0.001977442;-0.792293138;23.57382526;0.720688269;0
1165.4568;0.003574604;-0.690853344;23.58320684;0.600544438;0
1152.362287;0.004604141;-0.604392083;23.59190216;0.491522958;0
1139.240767;0.005499385;-0.519292859;23.59925575;0.395778948;0
1126.007393;0.006772911;-0.451143729;23.60636568;0.313260384;0
1112.891453;0.007678309;-0.384592019;23.61355696;0.235373521;0
1099.852013;0.008438667;-0.316339795;23.6202548;0.178531384;0
1087.096467;0.0086848;-0.254240589;23.62561808;0.123045001;0
1074.07008;0.007138038;-0.191062932;23.6313796;0.079916784;0
1060.967893;0.00649372;-0.15368488;23.63628473;0.038438455;0
1048.154813;0.004058455;-0.114963909;23.63950958;0.044476867;0
1035.56082;0.002682844;-0.11673922;23.64230661;0.051127955;0
1022.89738;0.001861337;-0.106335571;23.64684353;-8.07E-06;0
1010.088593;0.000935478;-0.106534983;23.64926987;-0.001295626;0
1000.4707;0.000997567;-0.106046362;23.65216961;-0.001857343;0
1000;0.000992364;-0.104832402;23.65438042;-0.00046826;0
1000;0.000955852;-0.104158792;23.65693426;-0.000808895;0
1000;0.001710018;-0.098916469;23.76539726;-0.001264818;0
1000;0.001663429;-0.09684017;23.76534195;0.000386619;0
1000;0.001680568;-0.095016896;23.76608658;-0.001193319;0
1000;0.001792809;-0.09464523;23.76629829;-6.68E-05;0
1000;0.001677174;-0.095228116;23.76708536;-0.000546153;0
1000;0.001703294;-0.09752258;23.76742287;-0.000498681;0
1000;0.001761456;-0.095969003;23.76756134;0.000609059;0
1000;0.001714611;-0.095373747;23.76786785;-9.04E-06;0
1000;0.001685142;-0.098086939;23.76871786;-0.002705582;0
1000;0.001721422;-0.095491094;23.76848822;-7.59E-05;0
1000;0.001748402;-0.098494395;23.76937656;-0.001155342;0
1000.047233;0.001743185;-0.098375585;23.76964951;-0.000749603;0
1007.438473;0.001788028;-0.098890801;23.76975384;-0.00101932;0
1020.364273;0.001759973;-0.096098524;23.77053938;-0.002130742;0
1033.25992;0.001745013;-0.097419317;23.77108393;0.005457963;0
1045.844447;0.006083529;-0.094146292;23.7697979;0.047584816;0
1058.52458;0.004958585;-0.122047695;23.76985521;0.033795714;0
1071.240113;0.00429425;-0.157345315;23.76970472;0.05955255;0
1083.94746;0.005480151;-0.184139592;23.76801043;0.109559719;0
1096.762667;0.00764368;-0.237519539;23.76617222;0.164253032;0
1109.401753;0.007544983;-0.305762204;23.76426554;0.227878791;0
1122.187373;0.006691921;-0.373920724;23.76093721;0.302177952;0
1134.860107;0.00623722;-0.44404008;23.7579936;0.375249628;0
1148.013;0.005294787;-0.516166771;23.75341902;0.46375206;0
1161.188847;0.003712484;-0.606107596;23.74831276;0.570263544;0
1174.12542;0.002505214;-0.703379976;23.74376669;0.687743917;0
1186.993533;0.001364508;-0.773256427;23.73808765;0.808913133;0
1199.838367;-0.000315857;-0.875113446;23.73143463;0.946689338;0
